rule_id,version,jurisdiction,regime,operation_type,residence_status,stable_establishment_status,ifu_status,beneficiary_type,payer_type,service_use_location,treaty_override_status,exemption_status,minimum_amount,amount_currency,calculation_method,rate_percent,valid_from,valid_to,priority,activation_status,required_facts,scope_source_path,scope_source_sha256,scope_source_url,scope_source_locator,rate_source_path,rate_source_sha256,rate_source_url,rate_source_locator,source_assurance,notes
resident_unregistered_2026,v2026,BF,resident,service_any,resident,*,unregistered,non_salaried,eligible_service_payer,BF,*,not_exempt,50000,XOF,flat_rate,25,2026-01-01,,40,active_provisional,operation_type;residence_status;ifu_status;beneficiary_type;payer_type;service_use_location;exemption_status;payment_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 206 et 207,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 15 modifiant article 207,auto_validated_official_extract_no_external_fiscal_review,Personne non salariee sans IFU justifie
nonresident_standard_2018,v2018,BF,nonresident,service_any,nonresident,false,*,*,eligible_service_payer,BF,false,not_exempt,,,flat_rate,20,2018-01-01,,10,active_provisional,operation_type;residence_status;stable_establishment_status;payer_type;service_use_location;treaty_override_status;exemption_status;payment_amount;currency,docs/source-corpus/fiscal/bf-ras-non-residents.md,284cf41647a8da7b1bd04567b586066925b05d85111351569b11d95a8da0e11a,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 210 et 211,docs/source-corpus/fiscal/bf-ras-non-residents.md,284cf41647a8da7b1bd04567b586066925b05d85111351569b11d95a8da0e11a,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 212,auto_validated_official_extract_no_external_fiscal_review,Refuser si convention fiscale non resolue
rent_irf_2018,v2018,BF,rent,real_estate_rental,*,*,*,*,eligible_rent_tenant,*,*,not_exempt,,XOF,irf_progressive,,2018-01-01,,10,active_provisional,operation_type;payer_type;exemption_status;gross_rent_excluding_vat;currency,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 215 et 216,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,articles 125 et 126,auto_validated_official_extract_no_external_fiscal_review,Calcul progressif IRF apres abattement forfaitaire
non_determined_manual_2024,v2024,BF,non_determined,manual_or_teaching,*,*,*,*,*,*,*,*,,,unresolved,2,2024-01-01,2024-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_public_2024,v2024,BF,non_determined,public_parapublic,*,*,*,*,*,*,*,*,,,unresolved,5,2024-01-01,2024-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_intellectual_2024,v2024,BF,non_determined,occasional_intellectual,*,*,*,*,*,*,*,*,,,unresolved,10,2024-01-01,2024-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_legal_entity_2024,v2024,BF,non_determined,other_legal_entity,*,*,*,*,*,*,*,*,,,unresolved,20,2024-01-01,2024-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18,docs/source-corpus/fiscal/bf-finance-law-2024-ras.md,1795f07ae232befbc25054b4c2067bfe2526c2f289497326a766d49044b737e4,https://dgi.bf/wp-content/uploads/2023/10/LOI-DE-FINANCES-2024.pdf,article 18 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_manual_2025,v2025,BF,non_determined,manual_or_teaching,*,*,*,*,*,*,*,*,,,unresolved,2,2025-01-01,2025-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 23,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 23 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_public_2025,v2025,BF,non_determined,public_parapublic_or_nonprofit,*,*,*,*,*,*,*,*,,,unresolved,5,2025-01-01,2025-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 23,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 23 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_intellectual_2025,v2025,BF,non_determined,occasional_intellectual,*,*,*,*,*,*,*,*,,,unresolved,10,2025-01-01,2025-12-31,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 23,docs/source-corpus/fiscal/bf-finance-law-2025-ras.md,3856e0c4c6b7542f9d1a34fc3ab4f1496a289c73d44d4cf04f9b0904bf39d301,https://dgi.bf/wp-content/uploads/2026/01/LOI-DE-FINANCES-2025.pdf,article 23 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_manual_2026,v2026,BF,non_determined,manual_or_teaching,*,*,*,*,*,*,*,*,,,unresolved,2,2026-01-01,,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_public_2026,v2026,BF,non_determined,public_parapublic_or_nonprofit,*,*,*,*,*,*,*,*,,,unresolved,5,2026-01-01,,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
non_determined_public_exempt_2026,v2026,BF,non_determined,public_authorized_service_receipt_exempt,*,*,*,*,*,*,*,exempt,,,unresolved,0,2026-01-01,,20,blocked_missing_scope_source,scope_source_confirmation;exemption_evidence,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Exoneration conditionnelle non activable sans champ complet
non_determined_intellectual_2026,v2026,BF,non_determined,occasional_intellectual,*,*,*,*,*,*,*,*,,,unresolved,10,2026-01-01,,10,blocked_missing_scope_source,scope_source_confirmation,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16,docs/source-corpus/fiscal/bf-finance-law-2026-ras.md,2cffef8258f0ac2e5e59c68bda2926992661634a73133896e8d0e0dc740ea2f2,https://dgi.bf/wp-content/uploads/2026/01/JOURNAL-OFFICIEL-N%C2%B001-SPECIAL-LOI-DE-FINANCES-2026.pdf,article 16 modifiant article 221,auto_validated_official_extract_no_external_fiscal_review,Taux connu mais champ article 220 absent du corpus
resident_exempt_article206,v2018,BF,resident,service_any,resident,*,*,*,eligible_service_payer,BF,*,exempt,,XOF,flat_rate,0,2018-01-01,,100,active_provisional,operation_type;residence_status;payer_type;service_use_location;exemption_status;exemption_evidence;tax_base_amount;currency,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206 paragraphe 4,docs/source-corpus/fiscal/bf-ras-residents.md,f255df7e122f5e43d2d48de1ee091565ac3222237168e5f1f9cdbb5af19eaf7d,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 206 paragraphe 4,auto_validated_official_extract_no_external_fiscal_review,Exoneration exige attestation DGI ou statut DGE etabli
rent_exempt_article122,v2018,BF,rent,real_estate_rental,*,*,*,*,eligible_rent_tenant,*,*,exempt,,XOF,flat_rate,0,2018-01-01,,100,active_provisional,operation_type;payer_type;exemption_status;exemption_evidence;gross_rent_excluding_vat;currency,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 122,docs/source-corpus/fiscal/bf-loyers.md,d65a93fd1abada8259da5f6154524376173c40114961ec259facba14ff659729,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 122,auto_validated_official_extract_no_external_fiscal_review,Exoneration exige faits et justificatifs applicables
nonresident_treaty_override,v2018,BF,nonresident,service_any,nonresident,false,*,*,eligible_service_payer,BF,true,*,,,unresolved,,2018-01-01,,100,blocked_missing_scope_source,treaty_source_confirmation,docs/source-corpus/fiscal/bf-ras-non-residents.md,284cf41647a8da7b1bd04567b586066925b05d85111351569b11d95a8da0e11a,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 210,docs/source-corpus/fiscal/bf-ras-non-residents.md,284cf41647a8da7b1bd04567b586066925b05d85111351569b11d95a8da0e11a,https://dgi.bf/wp-content/uploads/2023/10/LOI-PORTANT-CODE-GENERAL-DES-IMPOTS-FINAL.pdf,article 210,auto_validated_official_extract_no_external_fiscal_review,Convention applicable requise avant toute conclusion
